PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Qualifier^STRING^^^^,2^EC50^FLOAT^uM^^^,3^LogEC50^FLOAT^^^^,4^Hill Slope^FLOAT^^^^,5^Hill S0^FLOAT^^^^,6^Hill Sinf^FLOAT^^^^,7^Hill dS^FLOAT^^^^,8^Chi Square^FLOAT^^^^,9^Rsquare^FLOAT^^^^,10^N DataPoints^INT^^^^,11^Activation at 95.1 uM^FLOAT^%^^^,12^Activation at 31.7 uM^FLOAT^%^^^,13^Activation at 10.6 uM^FLOAT^%^^^,14^Activation at 3.5 uM^FLOAT^%^^^,15^Activation at 1.2 uM^FLOAT^%^^^,16^Activation at 391.3 nM^FLOAT^%^^^,17^Activation at 130.4 nM^FLOAT^%^^^,18^Activation at 43.5 nM^FLOAT^%^^^,19^Activation at 14.5 nM^FLOAT^%^^^,20^Activation at 4.8 nM^FLOAT^%^^^
3716294,2576894,Active,39,,,=,6.513,-5.19,1.57,-13.39,117.09,130.48,-48.24,0.99,30,97.7,102.2,68.3,22.4,-0.8,-15.1,-10.8,-16.1,-10.9,-15
3716390,2122192,Inactive,21,,,=,23.76,-4.62,1.21,-9.28,159.65,168.93,-241.1,0.97,20,111.5,66,13.8,5.6,-7.4,-2.2,-1.8,-10.7,-13.8,-18.7
3716460,2524461,Active,89,,,=,0.223,-6.65,1.19,-19.46,142.04,161.51,-47.36,1,30,126,120.8,119,114.9,108.8,70.9,28.7,-1.2,-16.4,-17.2
3716663,2566824,Active,40,,,=,6.135,-5.21,0.93,-10.04,130.04,140.09,-73.68,0.99,30,105.7,100.9,61.8,33.4,12.6,-1.8,-7.9,-4.1,-13.4,-11.3
3716739,2999733,Active,34,,,=,9.161,-5.04,0.78,-18.83,122.99,141.82,-28.24,0.98,30,88.5,78.8,53,26.7,3,-2.7,-11.6,-16.7,-15.4,-23.4
3716817,2649844,Inactive,27,,,=,14.78,-4.83,1.82,-14.18,147.16,161.34,-109.04,0.98,30,125.7,99.2,26.7,-4.5,1.3,-13.7,-8.8,-23.2,-16.4,-23.2
3716831,2102842,Active,34,,,=,9.323,-5.03,0.97,-8.87,209.65,218.52,19.6,0.97,27,52.4,108.5,55.2,19.7,-2.5,3.2,-9.1,-17.5,-13.7,1.9
3716833,2559952,Inactive,27,,,=,15.05,-4.82,0.81,-18.46,187.67,206.13,-32.32,0.99,30,116.1,78.6,35.4,14.7,-11.6,-8.5,-19.6,-12.9,-20.3,-18.7
3716944,2999816,Active,45,,,=,4.329,-5.36,1.36,-14.23,146.08,160.31,-43.8,0.99,30,128.5,119.8,94.9,36.2,4.8,-4.3,-14.6,-10.6,-21.5,-14.4
3717095,2999870,Inactive,25,,,=,17.24,-4.76,0.76,-15.26,132.74,148,-366.67,0.97,30,87.7,66.5,35.5,17,-0.9,-9.7,-12.4,-12.4,-11.3,-18.7
