PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Qualifier^STRING^^^^,2^EC50^FLOAT^uM^^^,3^LogEC50^FLOAT^^^^,4^Hill Slope^FLOAT^^^^,5^Hill S0^FLOAT^^^^,6^Hill Sinf^FLOAT^^^^,7^Hill dS^FLOAT^^^^,8^Chi Square^FLOAT^^^^,9^Rsquare^FLOAT^^^^,10^N DataPoints^INT^^^^,11^Activation at 95.1 uM^FLOAT^%^^^,12^Activation at 31.7 uM^FLOAT^%^^^,13^Activation at 10.6 uM^FLOAT^%^^^,14^Activation at 3.5 uM^FLOAT^%^^^,15^Activation at 1.2 uM^FLOAT^%^^^,16^Activation at 391.3 nM^FLOAT^%^^^,17^Activation at 130.4 nM^FLOAT^%^^^,18^Activation at 43.5 nM^FLOAT^%^^^,19^Activation at 14.5 nM^FLOAT^%^^^,20^Activation at 4.8 nM^FLOAT^%^^^
4252059,3245662,Inactive,1,,,=,88.9,-4.05,1.44,-15.68,85.31,100.99,-101.82,0.9,30,51.6,20.4,-2.4,-13.4,-21.8,-22.1,-16.6,-12.5,-15.8,-5.5
4252145,5771507,Active,70,,,=,0.778,-6.11,0.94,-18.38,128.98,147.36,32.26,0.99,20,116.6,111.4,86.7,85.9,71.3,28.7,-3.3,-7.6,-13,-16.7
4252160,3245750,Inactive,33,,,=,10.21,-4.99,1.37,-11.15,137.08,148.23,-120.1,0.98,20,115.8,102.3,47.4,12.5,-5.6,1.2,-13.3,-11.5,-19.3,-11.5
4252281,268975,Inactive,32,,,=,10.65,-4.97,1.96,-11.81,123.34,135.15,-76.64,0.98,30,108.6,100.2,48.8,0.3,-3.9,-7.3,-10.9,-14.9,-12.1,-19.1
4252362,3245923,Inactive,28,,,=,14.11,-4.85,1.89,-8.94,121.99,130.93,-77.73,0.99,20,108.1,92.9,30.9,3.3,-5.2,-4.1,-11.9,-5.5,-14,-14.6
4254645,1300948,Active,64,,,=,1.248,-5.9,1.78,-8.16,127.27,135.43,-9.67,1,30,120.6,117.2,114.3,101.3,44.8,6.1,-5,-8.9,-11.4,-6.2
4254778,1292336,Active,46,,,=,4.077,-5.39,1.13,-11.27,118.29,129.56,-52.95,0.99,30,105.4,97,74.8,49.2,12.4,-5.6,-11.5,-7.6,-9.1,-11.5
4256075,1247392,Inactive,26,,,=,16.54,-4.78,2.52,-9.37,131.63,141,-138.41,0.98,30,119.7,98.1,16.5,2.2,-14.1,-3.4,-17,-10.3,-12.7,-6.6
4256120,756028,Active,81,,,=,0.385,-6.41,1.44,-10.19,105.61,115.81,-75.3,0.99,30,89.3,94.7,99.2,94.9,81.6,49.9,11.6,1.6,-13.2,-10.2
4256168,1508818,Active,39,,,=,6.862,-5.16,0.71,-11.06,147.33,158.39,351.87,0.98,30,108.8,92.3,57.4,35.7,11.7,8.3,-13.1,-5.4,-14.4,-6.1
4256339,1093756,Inactive,7,,,=,58.72,-4.23,1.1,-8.09,708.39,716.48,-27.92,0.98,20,85.4,22.4,2.4,-7.5,-6.5,-6,-7.3,-8.6,-10.7,-7
4256345,2952584,Active,39,,,=,6.554,-5.18,1.99,-21.42,148.19,169.6,-285.33,0.95,30,126.8,118.7,84.6,7.9,-12.7,-12.1,-35.9,-7.3,-33,-20.9
4256356,936105,Active,55,,,=,2.206,-5.66,1.15,-12.2,132.64,144.84,78.45,0.98,30,117.7,113.6,102.6,62.8,33.8,-4.2,-6.6,-6.6,-11.7,-15
4256514,1091853,Active,97,,,=,0.126,-6.9,1.24,-9.89,114.15,124.04,-89.38,1,30,100.7,105.5,105.1,103.3,99.7,81.5,52,16.7,-4.4,-6.1
4256652,5425515,Inactive,31,,,=,11.65,-4.93,2.37,-1.57,98.87,100.44,-1127.74,0.97,30,95.2,91.4,43.2,7.3,-5.1,-5,8.2,-1.3,1.6,-9.7
4256783,1253064,Inactive,14,,,=,36.21,-4.44,1.34,-3.53,60.1,63.63,-121.09,0.93,27,21.3,49.4,31.6,14.8,-0.4,-4.7,-8.1,-5.4,-2,4
4256833,2227998,Inactive,7,,,=,58.02,-4.24,1.43,-4.56,94.03,98.59,-166.6,0.96,30,64.7,30.3,5.1,-1.7,-4.1,-0.5,-2.5,-1.8,-9.1,-8.9
4257003,2954481,Active,60,,,=,1.587,-5.8,1.05,-8.54,117.18,125.72,-111.66,1,30,105.4,104.9,95.4,73,40,14.1,-2.5,1,-10.3,-10.8
4258029,701067,Inactive,32,,,>,10,-5,,,,,,,30,126.2,126.6,114.5,-29.1,-36.9,-17.2,-15.9,-14.2,-23.8,-4.4
4258673,976135,Active,89,,,=,0.226,-6.65,0.66,-28.18,137.9,166.08,13.12,0.99,30,107.7,106.1,100.7,96.7,78.7,61.9,40.5,10.5,-1.7,-15.5
4258880,2205097,Active,36,,,=,8.497,-5.07,1.15,-6.72,101.91,108.62,-109.89,0.97,30,84.2,90.9,50.1,24.9,7.7,-1.1,-2.2,-6.4,-15.3,-4.8
4259339,5740802,Inactive,16,,,>,10,-5,,,,,,,30,125.5,106.6,-17.7,-26.6,-26.8,-15.2,-11.4,-12.9,-16.8,-10.6
4259396,898510,Active,37,,,=,7.755,-5.11,1.12,-11.95,121.17,133.12,127.06,0.99,30,101,91.6,60.3,21.8,4.2,-4,-14,-9.7,-13.4,-13
4259509,2945168,Inactive,0,,,>,30,-4.52,,,,,,,30,97.3,17.2,-4.6,-4.3,-17.1,-12.5,-23,-15,-17,-22.1
4259745,5383583,Inactive,16,,,>,10,-5,,,,,,,30,72.7,77.5,8.7,-32.3,-41.4,-32.8,-28.9,-18.2,-26.5,-25.7
4259815,885723,Inactive,0,,,>,95,-4.02,,-17.35,22.11,39.46,,,30,2,-5.4,-7.5,-14.3,-21.1,-10.7,-24.8,-11.8,-21.6,-13.6
4259886,890649,Inactive,21,,,=,23.51,-4.63,1.84,-11.43,148.27,159.7,-85.58,0.98,30,122.1,70.9,6.7,-1.4,-10.5,-8.7,-15.6,-11.4,-18.9,-7.8
4260079,2191946,Active,56,,,=,2.063,-5.69,0.99,-10.56,120.38,130.94,-68.91,0.99,30,105.6,103.2,89.4,71.1,24.7,13.5,-0.5,-1.9,-10.9,-17.2
4260170,750580,Active,65,,,=,1.136,-5.94,0.88,-15.33,113.75,129.08,43.18,0.99,30,98.5,93.2,87.8,70.8,52.1,28.2,-2.1,-5,-15.5,-10.3
4260436,2242601,Active,61,,,=,1.52,-5.82,1.01,-6.24,113.32,119.56,3.2,1,30,104,103.2,94.1,70.9,43.8,16.5,1,-1.8,-4.6,-7
4260495,935245,Active,68,,,=,0.935,-6.03,1.08,-13.38,113.3,126.68,-9.71,1,30,91.7,103.9,95.7,83.6,54.1,24.3,2.8,-4.4,-17.3,-11.9
4260778,2959465,Inactive,25,,,=,17.48,-4.76,2.76,-6.82,131.25,138.07,-143.86,0.99,30,122.6,98.4,13.1,2.2,-6.5,-2.7,-12.1,-4.3,-12.9,-9.2
4261023,992688,Active,51,,,=,2.874,-5.54,1.54,-1.62,121.87,123.49,-278.53,0.99,30,119,115.3,104.1,57.1,19.2,3.8,-3.4,-3.4,5.1,-6
4261086,973892,Active,53,,,=,2.551,-5.59,1.77,-1.8,122.71,124.5,-362.66,0.99,30,121.1,117.1,110.8,66.1,18.7,-1.6,8.4,0.8,-9.1,-4.7
4261214,716459,Active,66,,,=,1.066,-5.97,0.87,-18.85,123.16,142.01,42.42,1,30,104.2,98.9,90.4,77.6,53.2,25.8,-2.9,-6.3,-16.5,-17
4261674,1294876,Active,33,,,=,9.838,-5.01,0.83,-8.91,175.14,184.05,-144.68,0.98,30,122.2,102.4,39.2,26.5,5.6,7.1,-13,-3,-14.2,-10.8
4261757,2055944,Inactive,30,,,=,12.56,-4.9,0.74,-11.75,110,121.75,-167.36,0.96,29,83.5,33.2,42.4,32.9,7.5,-5.6,-15.2,-0.8,-11.8,-10.2
4261778,972882,Active,33,,,=,9.834,-5.01,2.46,-13.35,137.52,150.87,-119.71,0.98,30,122.9,116.6,55.7,-3.9,-12.2,-15.1,-14.8,-5.8,-17.5,-14.6
4262488,1245716,Active,40,,,=,6.128,-5.21,1.36,-12.52,140.74,153.26,-164.6,0.99,30,122.5,113.7,75.5,23.6,3.8,-13.9,-8.6,-7.2,-19.3,-13.6
4262822,876225,Active,40,,,=,6.365,-5.2,0.99,-16.77,102.12,118.88,-24.62,0.99,30,78.7,82.2,54.7,39,7.3,-1.4,-20.1,-12.1,-15.8,-16.6
4262868,1246117,Active,43,,,=,5.18,-5.29,1.14,-5.18,138.93,144.11,-268.78,0.99,30,124.4,114.3,77.9,32.6,13.5,3,-6.4,-0.3,-8.8,-7.7
4263137,913909,Active,39,,,=,6.592,-5.18,1.88,-9.04,79.47,88.5,-244.07,0.98,30,65.7,74,60.3,27.6,0.5,-8.1,-12.3,-5.2,-12.4,-7
4263295,108661,Active,67,,,=,0.981,-6.01,1.09,-14.76,120.64,135.4,-71.41,1,30,106.7,103.6,96,85.8,54.7,23.8,-4,-10.2,-13.6,-12.8
4264941,984852,Active,36,,,=,8.201,-5.09,0.66,-16.66,126.02,142.67,-1313.54,0.98,30,93.6,69.5,56.4,37.9,9.1,1.6,-12.6,-8.2,-19.2,-11.6
4265306,2957275,Inactive,30,,,=,12.73,-4.9,1.64,-13.88,131.14,145.02,-1458.52,0.97,28,74.6,99.5,32.7,8.6,-12.1,-21.5,-17.1,-10,-19.7,-18.5
4265471,2193273,Inactive,16,,,=,33.22,-4.48,1.48,-11.89,124.29,136.18,-61.05,0.97,30,90.5,48.3,5.7,-3.5,-15.3,-8.5,-16.9,-5,-18.3,-8.9
4265481,2302047,Active,47,,,=,3.774,-5.42,0.74,-14.06,152.65,166.71,-51.04,0.99,30,119.7,109.1,72.5,52.8,19.1,8,-13,-2,-16.8,-12
4265620,2944643,Active,35,,,=,8.626,-5.06,1.92,-4.29,129,133.29,-175.6,0.99,30,118.7,118,58.5,14.8,-0.2,-7.6,-11,-7.4,-4.2,4.6
4265676,2215161,Active,50,,,=,3.187,-5.5,1.92,-1.86,127.7,129.56,-1508.29,0.99,30,122.2,121.9,117.9,49.4,17.8,6.2,4,-3.7,-12.4,-6.2
4265694,2243275,Active,67,,,=,0.999,-6,1.2,-11.53,114.16,125.7,-89.72,1,30,102.4,103,95,84.2,55.8,21.5,-5.6,-4.2,-12,-11.2
4265767,2227364,Active,37,,,=,7.434,-5.13,1.68,-18.26,150.75,169,-44.54,0.99,30,128.8,119.7,72.3,7.7,-5.4,-18.5,-11.5,-21.5,-19.7,-24.2
7964695,6324537,Active,56,,,=,2.139,-5.67,1.57,-3.71,113.29,117,-141.79,0.99,30,112.1,106.3,98,72.5,26.2,0.5,-4,1.4,-8,-1
7964751,713221,Inactive,25,,,=,18,-4.74,1.21,-13.72,147.58,161.3,382.08,0.98,30,110.4,79.3,21.4,6,-7.1,-9.9,-18.8,-7.9,-13.9,-20.9
7964759,5307213,Active,41,,,=,5.969,-5.22,1.21,-8.53,112.99,121.52,-139.12,0.98,30,98.9,94.7,68.9,30.2,7.2,-0.7,-8.3,-5,-11.5,-11
7964828,715594,Active,65,,,=,1.124,-5.95,1.1,-10.84,115.97,126.81,118.33,1,30,102.8,105.2,94.9,83.1,49,21.6,0,-10.9,-10.9,-6.9
7964838,1296154,Inactive,29,,,=,13.06,-4.88,2.75,-0.07,117.41,117.48,-11117.9,0.99,30,115.4,106.8,32.8,10.3,-0.9,-3.2,-0.6,4,-4.4,-2.2
7965026,5307374,Inactive,26,,,=,16.52,-4.78,2.14,-7.18,126.94,134.12,-188.79,0.98,30,116.3,90,23.7,-4.5,-7.5,-6.4,-2.6,-13.2,-2.9,-9.2
7965065,3155818,Inactive,33,,,=,10.02,-5,2.14,-13.51,123.12,136.63,-75.04,0.99,30,105.7,104.6,51.6,1.1,-9.9,-13.4,-16,-10,-12.4,-19.2
7965230,5307495,Active,41,,,=,5.987,-5.22,2.33,-22.04,135.57,157.61,-18.13,0.99,30,117.3,106.1,89.2,10.5,-16,-21.8,-29,-26.7,-18,-16.4
7965302,5307541,Inactive,16,,,>,10,-5,,,,,,,30,109.7,95,-29.7,-17.6,-22.3,-17.3,-13.9,-11.1,-9.9,-3.8
7965321,5307557,Inactive,0,,,>,95,-4.02,,,,,,,20,2.7,-12.3,-4.1,-16.4,-17.4,-18.8,-13.3,-8.1,-16.6,-4.6
7965349,5307572,Inactive,26,,,=,15.91,-4.8,1.45,-11.54,109.61,121.15,-10.86,0.97,30,90,77.7,29,8,-11.1,-7,-18.7,-2.9,-19.9,-8.6
7965595,4457834,Active,72,,,=,0.685,-6.16,1.21,0.17,108.12,107.95,610.4,0.99,30,110,105.3,103.3,93.9,66.7,33.9,11.2,-1.3,7.6,-2
7965604,5142655,Inactive,16,,,>,10,-5,,,,,,,30,37.7,58.9,13.7,0.3,-1.6,-4.6,-0.8,-18.9,-5.7,-6.2
7965619,5307729,Inactive,0,,,>,95,-4.02,,,,,,,30,-9,-8.6,-12.9,-8.9,-16,-21.8,-15.2,-11,-18.5,-9.2
7965721,5307791,Inactive,0,,,>,30,-4.52,,,,,,,30,59.9,16.4,-3.6,-8.1,-12.3,-12.5,-16.9,-15,-19.9,-11
7965821,1367387,Active,49,,,=,3.449,-5.46,0.55,-17.88,173.49,191.38,-130.33,0.99,30,122.2,96.1,79.7,52.9,24.6,7.4,1.3,-8,-5.8,-21
7965841,5307865,Inactive,0,,,>,95,-4.02,,-5.51,39,44.51,,,30,31.4,21.6,7.5,-3.6,-6.7,-10.8,-0.7,0.7,-5.3,-9.6
7965996,6324551,Active,46,,,=,4.074,-5.39,1.29,1.3,111.14,109.84,410.07,0.99,30,110.3,102.8,82,45.2,16.5,2.4,9.8,-2.3,-0.6,2.4
7966015,1263400,Active,33,,,=,9.828,-5.01,2.19,-9.33,130.75,140.08,3.83,0.99,30,115.9,116.5,51.7,7.1,-10.6,-5.5,-11.4,-7,-17.7,-6.9
7966131,5308036,Active,42,,,=,5.653,-5.25,1.04,-12.21,127.48,139.68,-65.86,0.99,30,109.4,94.1,72.7,33.5,5.1,2.5,-15.3,-11.1,-13.7,-10.1
7966191,5308071,Active,51,,,=,2.916,-5.54,1.11,-0.28,123.89,124.17,-1268.75,0.99,20,123.6,108.1,89,63.6,16.8,8.6,5.8,5.9,-3.3,-3.1
7966222,5308093,Inactive,0,,,>,95,-4.02,,,,,,,30,36.9,25.7,1.3,1.6,-2.3,-4.1,-6.1,-2.5,-9.6,-10.4
7966248,5308111,Active,38,,,=,7.421,-5.13,0.93,-14.63,151.62,166.25,1018.79,0.94,30,111.5,116.1,51,18.5,20.8,-9.5,-10.9,-17.3,-13.9,-18.6
7966271,5308125,Active,34,,,=,9.375,-5.03,1.6,-0.56,134.48,135.04,-3776.62,0.98,30,123.7,117.5,46.9,23.8,6.5,-3.5,2.9,0,-2.4,-7.8
7966305,5308146,Inactive,23,,,=,20.15,-4.7,0.87,-15.84,180.23,196.07,-40.37,0.98,30,106.5,74.4,17.9,7.4,-1.1,-7.7,-18.4,-17.3,-19.9,-14.4
7966332,912352,Active,67,,,=,1.018,-5.99,1.54,-14.67,101.95,116.61,-48.04,0.99,30,85.4,84.6,90.1,80,53.1,16.4,-9.3,-15,-13.1,-13.8
7966373,5308191,Inactive,30,,,=,12.75,-4.89,1.44,-7.78,137.45,145.23,-56.4,0.99,30,118.1,96.4,36,11.5,-4.3,-2.4,-8.8,-9.9,-10.4,-9.2
7966417,5308217,Inactive,32,,,=,11.15,-4.95,1.32,-11.49,140.76,152.25,-115.71,0.98,30,117.4,98.7,44.3,8.1,1.6,-10.3,-10.6,-15.4,-8.4,-16.8
7966605,5308330,Active,34,,,=,9.593,-5.02,1.94,-5.02,98.22,103.24,-232.5,0.97,30,83.7,98,49.8,11.8,6.4,-2.5,-5.5,-13.8,-4.1,-8.5
7966606,912578,Active,67,,,=,1.01,-6,1.26,-18.49,118.89,137.38,-35.38,0.99,30,98.6,101.3,94.3,87,53.4,17.8,-8.5,-14,-19.9,-17.2
7966621,5308339,Active,34,,,=,9.703,-5.01,1.88,-14.42,139.8,154.21,75.36,0.99,30,122.9,110,55.6,0.6,-10.5,-7.2,-6.9,-15.3,-23.2,-20.2
7966699,5308388,Inactive,25,,,=,18.02,-4.74,1.98,-4.72,110.07,114.79,-313.54,0.98,29,101.2,78.4,22.8,-0.2,0.9,-19.3,-2.6,-4.2,-6.9,-12.1
7966725,4092553,Inactive,16,,,>,30,-4.52,,,,,,,30,113.9,67.4,33.4,22.5,-1.6,-5.6,-18.6,-11.3,-26.2,-22.9
7966726,3457780,Inactive,31,,,=,11.45,-4.94,1.13,0.95,120.5,119.55,334.96,0.99,30,106.3,85.7,44.2,22.5,5.3,4.6,0.5,5.2,-2.7,0.1
7966811,1263277,Active,44,,,=,4.902,-5.31,1.11,-21.15,109.31,130.47,-106.91,0.95,30,92.5,75.3,64.5,44.7,8.6,-8.3,-33.2,-12.6,-19.9,-16.8
7966900,5308505,Active,34,,,=,9.494,-5.02,1.4,-16.97,138.3,155.27,-57.85,0.98,30,112,105.2,50.7,9.9,-6.2,-11.6,-12.9,-23,-23.8,-14.8
7966906,912581,Active,61,,,=,1.445,-5.84,1.77,-4.3,98.41,102.7,-356.02,0.98,30,96.3,96,87.8,78.5,42.8,5.8,-9.9,-5.4,-10.3,10.2
7966930,4092554,Inactive,28,,,=,14.71,-4.83,2.13,-11.29,138.93,150.22,-292.2,0.97,30,121.6,105,21.1,10.9,-1.9,-16.4,-17.4,-11.4,-18.3,-14.2
7966947,1147635,Inactive,26,,,=,16.73,-4.78,1.64,-11.47,138.39,149.86,-164.25,0.98,30,116.5,87.3,21.8,4.3,-12,-4.6,-14.2,-9.7,-16.7,-14.7
7967067,5308604,Inactive,28,,,=,14.65,-4.83,1.65,-15.35,142.43,157.78,-108.89,0.98,30,118.4,94.4,28.3,-0.7,-10,-11.8,-15.1,-18,-22.7,-14.2
7967243,5308706,Inactive,25,,,=,17.47,-4.76,3.43,-12.07,125.03,137.1,-115.46,0.98,30,112.4,98.6,6.3,-7,-10,-12.3,-14.3,-11.1,-19.1,-9.9
7967308,5308744,Active,52,,,=,2.781,-5.56,2.83,-16.85,121.45,138.31,-80.12,0.99,30,107.4,104.3,99.5,69.1,-4.8,-24.5,-19.7,-14.4,-11.4,-14
7967369,5308787,Active,43,,,=,5.062,-5.3,2.83,-12.92,110.08,123,-74.83,0.98,30,92.4,100.3,89.3,21.4,-3.8,-9.2,-11.6,-14.5,-20,-15.1
7967628,5308937,Inactive,12,,,=,43.31,-4.36,0.98,-2.61,237.99,240.61,-122.91,0.98,30,88,38.7,12.6,3.7,-1.3,-1.4,-2.5,-0.1,-5.8,-2
7967723,4103309,Active,53,,,=,2.547,-5.59,1.3,-5.69,100.53,106.22,-12.26,0.98,30,86.8,100.6,84,55.8,31.3,-2.3,1.8,-7.7,-1.6,-8.5
7967825,5309053,Inactive,0,,,>,95,-4.02,,,,,,,30,30.7,13.9,13.2,-1,6.9,-9.6,-7.2,-9.2,-5.1,-14.3
7968004,5309164,Inactive,26,,,=,16.07,-4.79,2.14,0.01,114.36,114.34,43289,0.98,30,110.1,89.9,24,14.2,0.2,-4.5,-9.3,-0.1,-0.7,6.6
7968328,1521281,Active,41,,,=,5.868,-5.23,1.38,-5.93,105.91,111.84,-79.97,0.99,30,98.4,91.3,68.8,33.8,2.9,-3.5,-1.7,-2.2,-11.8,-5.5
7968407,727593,Active,62,,,=,1.435,-5.84,1.29,-13.69,144.08,157.77,6.87,0.99,30,130.6,125,117.2,94.2,33.8,12.7,-11.5,-9.8,-11.2,-19.3
7968431,4613970,Inactive,29,,,=,13.4,-4.87,4.2,-11.56,117.77,129.33,-32.98,0.99,20,105.6,104,22.2,-7.7,-12.7,-11.6,-11.3,-8.6,-11.4,-17
7968588,925735,Active,40,,,=,6.169,-5.21,1.23,-15.14,109.09,124.24,-6.87,0.99,30,89.9,88.4,62.3,34.6,-1,-7.7,-13.3,-13.1,-19.7,-13
7968658,5309527,Inactive,0,,,>,95,-4.02,,-2.39,117.82,120.2,,,19,52,32,16.7,7.6,-39.3,-0.2,-5.4,-1.9,0.5,-2
7968743,5309578,Inactive,32,,,=,10.67,-4.97,0.9,-2.39,151.15,153.54,-451.6,0.98,30,115.4,92.1,42.8,24.6,8.2,6.5,0.5,-0.6,-10.7,-1
7968791,5309605,Active,55,,,=,2.276,-5.64,1.34,-8.25,114.96,123.21,-18.76,1,30,108.7,102.9,89.5,69.8,24.5,0.9,-5,-6.8,-9.2,-7.6
7968823,1262214,Active,37,,,=,7.769,-5.11,1.35,-13.66,129.2,142.87,0.55,0.97,30,115,90.7,70.4,12.1,-1.8,-6.9,-13.2,-12.9,-13.3,-18.9
7968913,5309667,Active,50,,,=,3.08,-5.51,1.27,-1.8,103.53,105.33,4299.34,0.98,30,100.2,97,83,57.3,15.2,14.7,-4.1,3.1,-6,-2.8
7968942,5309682,Inactive,11,,,=,44.32,-4.35,1.15,-13.22,85.29,98.51,-327.12,0.91,29,61.3,-55.2,17.2,-1.5,-8.9,-15.1,-11.7,-8.2,-20.7,-9.7
7969004,5309717,Active,43,,,=,5.056,-5.3,1.93,-1.93,112.35,114.28,-319.77,0.99,30,104.6,112.7,85.8,29.7,8.6,5.3,-5.1,1,-10.8,-2.7
7969054,3429051,Inactive,0,,,>,95,-4.02,,,,,,,30,19.9,9,-5.8,-1.6,-4.4,-5.8,-16.3,-9.2,-20.8,-25.1
7969091,3156036,Active,100,,,=,0.107,-6.97,1.09,-14.83,116.26,131.09,-1266.15,0.99,30,101.1,102.3,100.2,101.3,95.3,78.4,56.8,28.9,-13,-2.9
7969144,1262216,Inactive,0,,,>,95,-4.02,,-13.52,46.48,60,,,30,17.5,51.8,12,5.1,-6.2,-6.9,-17.7,-10.9,-21.7,-10.1
7969343,5309912,Inactive,29,,,=,12.89,-4.89,2.68,-0.98,116.79,117.77,-1385.28,0.97,29,112.8,106.8,33,13.7,-2.9,-5.4,-5,-18.9,-6.9,2.7
7969351,5309919,Inactive,0,,,>,30,-4.52,,,,,,,30,63.1,1.6,-2.9,-2,-6.1,-12,-6.4,-7,0.5,1.7
7969559,5000908,Active,38,,,=,7.033,-5.15,1.09,-7.97,133.05,141.02,-104.4,0.97,30,110,109.4,57.9,26.1,9.4,1.3,-1.8,-15.7,-12.4,-6.5
7969707,4891472,Inactive,24,,,=,18.82,-4.73,1.65,-14.34,138.01,152.35,-21.18,0.99,20,113.6,78.6,20.7,-9.2,-7.9,-12.1,-15.3,-12.7,-13.5,-21.2
7969983,1356309,Inactive,16,,,>,10,-5,,,,,,,27,21.7,102.5,34.5,13.6,-1,-2.6,-6.3,-1.7,-3.2,-3.7
7970285,2158847,Inactive,11,,,=,45.17,-4.35,1.37,-14.7,323.92,338.62,-91.85,0.98,29,118,28.7,-5.7,-0.2,-13.7,-12.4,-18.2,-11.3,-18.6,-14.8
7970311,2155043,Inactive,32,,,=,10.63,-4.97,1.55,-16.91,146.35,163.26,197.35,0.98,30,118.7,113.2,39.6,14.5,-20.6,-10.1,-18.3,-15.8,-20.5,-18.1
7970373,5310198,Inactive,0,,,>,30,-4.52,,,,,,,30,55.5,21.8,11.6,-2.7,-1.1,3.6,-7.5,-11.2,-8.4,-7.8
7970529,3688225,Inactive,0,,,>,30,-4.52,,,,,,,29,70.6,30.7,12.3,4.9,2.3,-36.2,-10.9,-4,-6.7,-3.9
7970551,5310246,Inactive,16,,,>,10,-5,,,,,,,18,69,79.4,34.7,3.9,-19.7,5.8,-66.6,-3.9,-7.8,-8.3
7970705,4276367,Inactive,23,,,=,20.09,-4.7,1.07,-13,226.95,239.94,-476.74,0.98,30,139.3,72.8,27,-1.8,-10.4,-14.3,-19.3,-13.9,-4.8,-9.7
7970738,866501,Inactive,0,,,>,95,-4.02,,-12.04,71.95,83.99,,,19,41.1,25,10.4,1.1,-7.6,-13,-40.1,-8.1,-7,-15.5
7970816,5310309,Inactive,0,,,>,30,-4.52,,,,,,,20,85,20.6,4.4,-2.7,-7.5,-6.8,-6.2,-7.9,-2.3,-5.6
7971148,3260619,Active,35,,,=,8.806,-5.06,1.3,-7.65,142.42,150.07,-76.32,0.99,19,121.4,113,49,-20.2,3.1,-10.4,-7.7,-0.6,-11.6,-11.3
7971377,3309622,Inactive,28,,,=,14.66,-4.83,0.77,-19.25,140.61,159.86,-94.01,0.98,30,95.2,67,44.5,13.6,-1.2,-10.8,-21.2,-15.3,-22.4,-13.6
7971502,796599,Inactive,28,,,=,14.41,-4.84,1.94,-13.59,138.42,152.01,-95.16,0.99,30,118.5,100.8,25.3,3.3,-8.7,-10.8,-18.5,-11.9,-20.6,-16.3
7971534,5310495,Inactive,20,,,=,24.02,-4.62,0.52,-14.73,2004.94,2019.67,-338.76,0.98,30,114,55.8,31.7,14.8,-6.4,-8.3,-14.5,-7.3,-20,-6.8
7971572,4441495,Inactive,33,,,=,10.06,-5,1.59,-4.35,130.34,134.69,-295.46,0.98,30,115.8,111.5,43.7,18.4,4.3,0.3,-2.7,-9.5,-7.9,-9.8
7971575,4673924,Inactive,23,,,=,19.9,-4.7,1.11,-10.66,144.58,155.24,-69.13,0.97,30,105,70.4,24.4,4.8,-4,-8.6,-10.1,-12.9,-14,-8
7971882,4347363,Active,47,,,=,4.01,-5.4,1.51,-5.69,73.26,78.95,102.44,0.91,30,42.3,83,78.4,37.6,19.9,7,-2,-16.4,-3.4,-4.5
7971980,773928,Active,36,,,=,8.305,-5.08,0.9,-19.71,130.63,150.34,-8.01,0.99,20,97.9,88.3,51.8,28.7,1.5,-10.3,-18.6,-23.4,-17.2,-15.7
7972021,869896,Inactive,14,,,=,36.99,-4.43,0.49,-11.82,220.42,232.24,-107.05,0.96,29,71.5,49.3,26,8.5,8.7,-0.9,-9.4,-1.3,-7.7,-17.8
7972063,6858836,Active,39,,,=,6.533,-5.18,0.88,-11.8,132.91,144.7,-47.52,0.99,30,107.4,92,66,29.7,9.1,-0.2,-4.9,-10.3,-15.7,-11.4
7972143,90866,Inactive,30,,,=,12.33,-4.91,1.22,-10.51,152.43,162.93,-69.6,0.98,30,122.8,97.9,36,14.4,-5.1,-3.7,-10.8,-10.4,-12.2,-15.3
7972257,1325823,Inactive,0,,,>,95,-4.02,,-19.19,26.74,45.93,,,20,3.7,1.3,-5.9,-14.4,-14.5,-16.5,-19.5,-16.6,-24.2,-17.5
7972309,887455,Active,53,,,=,2.66,-5.58,1.01,-16.34,119.06,135.41,18.4,0.99,20,97.8,99.8,81.1,58.4,24.3,7.8,-16.2,-16.5,-14.3,-12.8
7972470,2911166,Active,39,,,=,6.822,-5.17,1.11,-11.75,151.03,162.78,-6.49,0.99,30,124.6,115.4,63.4,25.3,4.2,-3.5,-5.7,-16.5,-14.3,-13.4
7972582,2877644,Inactive,0,,,>,95,-4.02,,-16.57,50.03,66.59,,,30,29.4,10,-9.4,-22.6,-14.2,-14.3,-12,-21.8,-13.2,-18.5
7972602,613157,Inactive,30,,,=,12.14,-4.92,2.41,-17.86,144.44,162.3,-55.65,0.99,30,123.9,114.2,36.7,-7.2,-18.6,-21.3,-20.2,-13.5,-19,-17.5
7972636,2252413,Inactive,18,,,=,28.94,-4.54,1.61,-6.37,144.18,150.55,-235.54,0.97,30,110.8,55.2,9.2,-0.5,-12,2.7,-16.9,-0.6,-8,-5.1
7972728,6860069,Active,77,,,=,0.502,-6.3,1.76,-7.39,126.22,133.61,2.15,1,20,121.1,117.6,117.2,114.6,90.4,38.9,-1.9,-5.2,-9.9,-3.1
